source_lang,target_lang,domain,difficulty,source_text,target_text,plain_meaning_en,plain_meaning_tr,example_en,example_tr,tags
en,tr,court,1,Absolute discharge,koşulsuz salıverme,Guilty finding but no further penalty or conditions.,Suç sabit görülür; ek ceza/koşul uygulanmadan sonuçlanır.,The court granted an absolute discharge.,Mahkeme koşulsuz salıverme kararı verdi.,sentence
en,tr,court,1,Accused,sanık,Person charged with an offence.,Bir suçla itham edilen kişi.,The accused is present in court.,Sanık duruşmada hazır.,party
en,tr,court,1,Acquittal,beraat,Not guilty finding; accused is free to go.,Beraat kararı; sanık serbest kalır.,The accused was acquitted.,Sanık beraat etti.,verdict
en,tr,court,1,Act,kanun (yasa),A law passed by government.,Devlet tarafından çıkarılan yasa.,This Act applies to the case.,Bu kanun bu dosyaya uygulanır.,law
en,tr,court,3,Actus reus,fiilî unsur (actus reus),The physical act/omission of the offence.,Suçun fiziksel fiili/ihmali.,The Crown must prove the actus reus.,Savcılık fiilî unsuru ispatlamalıdır.,elements
en,tr,court,1,Adjournment,duruşmanın ertelenmesi (tehir),Postponing the matter to another date/time.,Dosyanın başka bir tarihe alınması.,We are requesting an adjournment.,Ertelenme talep ediyoruz.,procedure
en,tr,court,2,Admissible evidence,kabul edilebilir delil,Evidence the judge can consider under rules.,Mahkemenin usule göre dikkate alabileceği delil.,That statement is admissible evidence.,Bu beyan kabul edilebilir delildir.,evidence
en,tr,court,2,Affidavit,yeminli beyan (afidavit),A written statement sworn/affirmed as true.,Doğru olduğuna yemin/teyit edilen yazılı beyan.,She signed an affidavit.,Yeminli beyanı imzaladı.,document
en,tr,court,2,Alternative measures (diversion),alternatif tedbirler (diversion),Alternative to trial for less serious offences.,Daha hafif suçlarda yargılama yerine alternatif süreç.,The matter was resolved through diversion.,Dosya diversion yoluyla sonuçlandı.,program
en,tr,court,2,Appeal,temyiz/istinaf,Request for a higher court to review a decision.,Üst mahkemeden kararın incelenmesini isteme.,They filed an appeal.,İstinafa/temyize başvurdular.,procedure
